index,s1,s2,s3,s4,s5,s6,s7
11,291772348336755147035630622648246483617,315415642291346900956979303436037166335,51264182310117186271654177541917045021,179882702234942929906404459829422542269,20706468223947204934480935435017235485,254300214119006938282632819222237547263,200099206078245203024110896327547055009
12,86538763090917303891337700829780837802,134446291882560209937162662724982175358,85884703252496283738114378165431161107,281136364121663988757567454582896006346,39636540648186398068772677113840288481,41949966673940438598479260621800430106,288076642198926110346687205106776431221
13,183693086869389303144003267837393047926,168710016715169443619864908827807724576,222668950108041830486593597652619599237,5287520127068000280814726880060460612,197130460614124879929277511373666731295,117633037727335542505232736269901988692,107077618387638451472055009000534444100
14,10760447701606851552693080359162886227,29008840913899293528586255840745062874,80136083999330964278253241222647103930,164142176957901863801694036504869009395,281027119789611992098908641687410779269,90508545573522885706522449338504202255,273151188151511471551284674321685700947
15,208654336356190894120702487980379961372,283483565419698532424812372976367341407,165389609232230636144480017912970029247,194654834714725668743080030221956236189,30996874946245166757237802471557750936,14698096847727593650327942093542784785,145758500419172949422350449087911337736
16,216643992214071632173215743532902082689,301686242187637881790362019771035827010,160914084498405694107858139188215009992,134609886067313532589078709216207842932,222773646894361397234023729855014325830,85123000058610824579318593672866247389,61940312481000278088337908101531818906
17,256981381299066180593050067796370948841,254180857119620156699544125652640674681,65675441800064278377450108968074311490,31747502261337009090142625174440070565,152397038503438348837621674271737951906,87341683605429834156512648828199744216,176863804488249928510190156275593658792
18,208392835164794016801869873633557147126,167972667783507588286550922202969116914,179069950511463083174792889449943736287,241684683348660501466595775374481005245,15534499374161379698584972544812712491,181184132429842644797509695824475280619,58068848673827369836620730349932287035
19,163098089871379192110008135645200893670,708729401394879884527525161157899481,305665781196935501971954416290308574769,57122144495185667982164986737348285643,275924920058960768305283058797581665994,281509374046383876014559417607472293228,73875506457454991109994063167020167345
20,196717295973659543779025320625523772339,123492688660907842230026201042929616418,259781680019755528808458606773723200845,265301903129264140050947930386136314323,140053357989433675957494171880168956852,224318411521202599991471938687589339729,177814696803632448689506623376629251657
21,140751914019822362917102306986536497453,30467283702172550681723550269493946723,142236895739755577965292157087569260679,135778383211632981304433520008994228024,11091746117804760699147639033768848758,108459351379209379612809121593661334178,87598832074908374582043360256903472987
22,262016605076039257279006452418575834727,221621784517211893267636135758441901754,153529325884853977211617281310001369233,57739229178965509110949889073254237164,274533861320484952429008566479968716844,123348488467535380239044098666608385679,284747844461993719467805700496709666263
23,290915682745756525263295263766678803143,884291458599923822406029395644563142,1845191065370834056372386142967092640,293798381566069255965194334008646391637,196179129118818262622122658129146037539,49269800644556317490531965936234241643,193352763064221884033796864861679215246
24,57026564816674652762354811733638885465,158901970747270564929744977359560583471,222923680056660713361641694076259346583,249091692744845098058044961883735174801,237406008811823719018954780781988068125,187866628257596576244371150771018026555,100473551082163669734294071850825050091
25,276259517918457368214614364943816174586,250981990930100733537210938203705153419,311339995563679777661865500485151837140,117051164898256037125203444356388014452,8397865854767975390599377249181896652,325662465354154055921427906595301695037,47997862633598888327565210099442775716
26,179400899514315085640280368725859342756,287007754440997172255157975122476102178,138293000538956299549490638379474646431,73539004729130930986652965928623186812,92745767011521066566644957769921723321,195913287386126706289466613903370255958,42759198932009386691743326897200573426
27,226847139052175328040884375433558826668,281261773618997459022740573464446863869,262991980101560979835129967510076123713,172037758499865890478052557570446606200,8399108813912190951508343645558311330,112358397964638344718871933167179450400,143633259031105888316768718703541812113
28,213115156488231804116754381056792445642,267971333819859179835842376689151690940,312592354885227006862944489309096436169,6695852763396821734686111484858470032,30846561296245551377816458079974215123,44762113562834732328960921662675460145,48442509563164364588119502232962205098
29,289887463163693829608966035144403750659,203422548619835076235843423061749850067,298269546305290676143396064179697185616,234146089299122165868249351066477546009,11052177601329545410403283722090931246,309552545053789741696607077010073763921,108800090893687364336736908635121410143
30,73703397311545362388164577072257247587,11373641393545356474989358872446925495,48864316894444866255486083717223837618,186175423814243891729654751606587983956,83024595232003969434120755108771153212,79694198068663562832258701655541556683,176184232324222671924068591246899194369
31,262279517691402466710677630618111588821,288497448218677312515951960946135867634,94580407139625123452479838390563931767,20810761375184362983635870383163992517,67188510925355031109420056923936049884,233713655790137127829832398012880103868,180103829048592189681498286218227943172
32,47981855189264212305516113396443662196,220192480797293373634006487117270560056,263609702793379959424540823406710498561,178233521177523969677119122264763477711,304346302870663867855115991123197708803,301665680951861190495156822550244980540,170191655421115937597241616545905292922
33,158460026901620502873103099597655675906,2300539028751785563267823632290463575,248950901321698284769582365677110807129,217846379938583073565297510868580283974,249269341800344615413787866638467105407,2937419986044446851678825555003060131,159415348337559494805719602481724570740
34,339545061273094953673059979117180412516,28807458778788616192346014044805979036,311377540167641970640222101170861831037,166408204676839626626564418200043334628,274464186148258511078122179995886912403,295263117660960160531520779126624353065,228804999214944574986760215592255656614
35,291800758099736131500086295110497836669,324170384893855163380838921295643480261,259628704569050967837593056244685145550,98175717125323544870348699957622832536,180093789483611357942480459866224752516,165100554722975943590613728538722694193,53196012843417301814748505975116657567
36,68935802253344856038197942946770328882,260629268055798228798567013926444095967,267317452460222430277578672886734054428,89000355466617460475232919827640204265,65960343995921782854904362180930756775,198197418048135397416592999946605711958,145429210702319840696924225692896858517
37,199022765709028465622046430567032550128,244025797865313339135655459492330583241,219599823655276760079243633330671198759,125744843078918728452810952082054396682,302743223057177707719732023178248388307,70030229748176770953257631755716751040,108170596993792845080136992677995907475
38,35150535742340370283243696379332687611,114013279731081800071703570446843094872,54511582658329112566512836582847638064,196927811445020771231046102219114528484,200979599170218312601928759923875554835,66666945833921736679160809697130717117,134272218357069506926116858970648226627
39,335643902279595788264569421403549068847,278608574978819090163058479785334572520,268567727743530551806077652210646950972,305521360573730173193626938679486204203,49187106548479490862331731760084120916,180129699509655431738941246315977123705,17784405615381068896706267483628789976
40,318874589434251085361850886232809766529,143137511203092815420602604353152277804,70842128103509220408404914852957910352,101988440135500300325257817732226664173,236576447299066055171161312990958539267,134323782673268021482740793197385324337,135512813179044662723370865783275230680
41,213985558543527034947269773364511499510,17310726078603175357237201197865654041,245784557274684720088915408081655713294,218842318289894742215555179152345254675,276766376045171705200531121841702489481,79274363619577145580468628717959206415,306931014854987990282116914644651828071
42,251018136570295948617124673676386534431,277409466284736798196858947412905975064,45644190954976930058714947367339865121,236287044422893271129441888403224627196,168773292846608894482290555657023838695,183385303147062263580635556560505710915,280123075324253378424476891113670243856
43,295317728750675656308088779705026949950,258421555915819248911000849912946584820,237978980646357703649292818893634844886,233990002942291020522964686647091730148,246454622803619199532016453173317240606,275372840230342240676448118472311376260,320744655222460143956259682544074137110
44,231769964219591481044960663670765297643,213320507024469621488623520652536063010,125832275751721311755720575707737312889,309587637322285015309626436268137258577,84021857894283805223591887470199477480,129699671309594608424366144177460392192,106338710647278961448574598958151791416
45,144919389053196398428066002143918625989,7079983412634151622033071020212221933,306795402657006139574510396931949489874,23218546023496971895374157583825795921,177196514274922038974748175271145773965,88164573569404413885883235130373001412,96405090827882560092153944593275689559
46,147566576814175687110906844458200482328,63660726905249234015105577361348111566,171382175212419861266844677665031181645,130448554814749105402749537937481481268,281142232633175429886194765610467221732,283180841746760371253805753252220191740,136564382155503929505582500862740391292
47,35016301555749086672676374576426464617,273571511138171352041425342310300886788,338495872478548845673244031948432658784,229789385576881567568132443490821780605,287734417354107981189465184369236463548,172048600889289623073867647151908496316,223014303103364956684714439270606090206
48,132248095449779606870327628145321222691,12055052060843210792803858604594293240,207582660282130296008633443696190704520,38266186271763935591067168556574033937,184670363871621056466854248049280704085,306512826160763195172620074742542503667,63511206218251888244990041204591221386
49,103033656514081509617808288963846709672,135106954457994045186065458187633052385,50324397153735878877207635371736103009,188968351522245474154609427947924072841,210756450642584367554896228484428750584,115688694514752559078068036981250136238,244047450059688512187499460870156441100
50,142894671034236034535677139159324612314,122959474924303840683288394848527315221,240819177513741235427913244456674838052,156191411881609755306177080551998969510,209358544948847863781454510566267920892,60038209794517097390370927067713480901,48512773339555919596300937488103860834
51,265392293497024505642279090194381287147,11148435866607068966376645861917111135,153323256766632268413166558060691269228,11352022355223177055899611927167338832,265799466474256721821325022324881742541,236100855281855975782693574390298057761,262538555698959402403379875555184495789
52,186501707617915067459221438692149078242,64006274907423982406829870408548298177,123040420675080421525451089614163476237,23321777999945921351710488877226401125,105132713802958945348982675629505284138,28190861163181030053893042439231913979,132778587001550638929816196738174501945
53,130165937565531843311606028925967304284,225219232496213259692904591572335221143,96484241956616791955086813018759559686,84243332867680903561527300697008531210,188496505229405594512226054607082135715,68961392120852401343808467317212161904,65920360462959787519649146259166821074
54,263853825579260031692097270136876396933,118927994068164833561080454401280929094,85181366633207931967452040550630229372,162613943274389326911212028584924297767,10943357070770554928985811072394922982,310734341864228542947522602876578527611,41139796891947900576698581702170477763
55,154722155548663012675973183184192715709,110585068374204624798337498280784989976,111969983429685581466285646131000951162,158876900715105882679817626734840599267,251305820230465528438933440092303934291,48974375054826055280258478771622744937,232447299030064390130541957636333453799
56,136245893011779339213954478678344970153,287769288568619835274705139869672318173,214990496526890653790438145823445547967,258191883807530258224528103971432870832,77091083489600185113600406881866075471,11970462494038897921029661986513373181,62830020820846396646815869285374763962
57,324858657187906910207519345150192018233,134091596356409322436231857722134593176,113732954088652995970829141703506146050,263782730384637930811311197094306676855,243958558323425663494303416462767974294,54260437905016194019805799808890038367,34970736050347985851192954564441080371
58,186694818290144658513550709915927927379,95446155396592549427139698618848063443,312581162818133506073827679976148348716,157535106712890601526865439124292360604,310872720922740762713002190926816521701,92029271605807062705488720520184409413,181569492603966428431074242767932446334
59,156707051356066920273693090232358878402,149366676863184270112527212807419329007,148414162732579634861127351868928817895,153849508964253014519493507416887345066,165672715558204409087625679451294910520,183883782514433818565523867972151514257,208482709832941242953188072979457156277
60,121449203033748063096329734076091493240,225815265377531923988681399079654149013,224305687549537505294368141188041125103,116920469549764807013389960401252421510,243941978299152292609121464151056249531,265087846876761498618188045005684397869,180358075282592425040589702965136866524
61,324143914157619630444886736066589646575,300526446608378708606063565004578130820,305095710206276671324342353606283570982,337851704951313518599723101871705967061,58512063922550786968831202369077107760,147641520961865403358415869961933415673,264957709148318904305102497218506679503
62,100500259887891637667943141224138676506,1317123560649823224214965683306615682,234247677583816665829144524918639070354,118727188115515238555982604066599617928,335320388997622468331478417990724680998,203462546388261428228882751827477836970,63436027208370581711570213008627297141
63,233336669528771474632919574145405529390,278342331518101501470308836016321648302,148774871469010376318918857331255766285,184916656302436562642124245521976094636,46485319097441596976550393156714422058,73763226774963942785571907667238959848,266750379335003600069188789053549708006
64,279760528384157258379340140550030431014,287209675200997294274186990971279763590,101224263607276548983767733694472875926,62086660523933485971456976151377979319,169796865950968105237254718341995073769,84072512967441943317786352834555947979,145195968494293463676426487060828813246
65,150074543221808766648476655794831636666,130198019864480921117391730897036243817,249638657448902989714389368600343056554,168114089054136508976094961472983863580,225906681601119942365883116946726876192,82734068168914826420379227589803883093,78878615678459624602957900833983095580
66,203656269921752307295460579602719843186,242581791091228420886139095523962386191,298200443855472410669767413554299460581,30229861293545813182970926261962855059,119234777247325555352498848510488992219,224932824795873173714976572868109660764,7041637018250204807029491903056649397
67,103051799994257689990624895051422959720,183102212610586398737396622286873123999,216513458552380534662886062419509814071,203285537819640097767093215449333029936,143418450412365088050018081376342771594,36912196330555505511660660200539039045,224049142495149813615395559353690043586
68,247399515671840884751770258086801690031,216464636946628523392232550847414389116,287591313522744890631186618490847716280,120497178479251523005257853585333460226,55464598737086883977820863562639832251,92493574296250973548875648422766832355,231584105156743791718422208165714460538
69,306314387382636984414561138476404719932,100110424878350361300700843794566142132,293922690978939273187598667240252229902,207186451842526793148505393949926560648,180184074390051384646795631355357345667,212915558621513047682469379456544584959,305380904536911782255526638253488278524
70,307767106049701562382761022389954679693,238738890514844793012637333173564671075,120063687510487981115198595843151850435,292023863957569590153819417830484429070,74054686014212693201750584272025984386,146720887522294217185741310031312938977,169740101560875698642416987676577081546
71,105644612937840893821422932135198041270,21234261441491157006798168597401789179,112538906750959308259724497368489421696,39276181945306884116827311016692727524,141728453945472348041481216973779917960,79613355830517236570311607807982781707,193213254521380013166693090951069530062
72,30932285332603151146306913537066279806,88625513008795766541816243704292848025,210631300728075397218213301297869638112,56667281569503579712123478886028438770,307298189374957240950295991332305672593,281959290302559454005981623773164916987,320932951273248682342554983640374383249
73,80657167291886288016221166047938147108,156977162141187105318581501794153988176,231583941225538704698486903772154302581,304477504544941086155937371981939090323,35375485178455786227558298991740140105,104842616967959731840098899665093874521,172596532992514459530184566570232082274
74,315788507424467602576913781597818410967,273919819807928417492871386329991682783,295750703892451688115859241288559301244,40998792757098950982502739041753055053,190228820243747133019551094453109366804,62876052510519307300255092659091813903,339505223399292400751363948523236818944
75,24554755662483351274906029250548197224,157796928817670159578506857205109384938,230121319198544243931925563089282904976,241527926805105604335162146903068757338,192016751637354240788216608646466942024,81587793695290153291088948319477459034,250523419899851805307153773353868519665
76,233881004393584698930482466168817154175,133237873084501427829259450871139898830,328737366784730628280850187663888339647,139814751652395373358505461683526054032,247034761529372589988974487793589464579,310115029494723814708882658562310359991,329055555548449047518229973989688740268
77,256215250462544385059464146729854860658,247508779194578904788150983257300682691,288730639822135053860536499557551113540,39598465424274368813246088198837941908,180676989842873776573028964044697590389,31401479236056350213135912231593636389,272336667445699016660316147623062502502
78,291924420525210669808505903555875675059,117829187038339586043543149394257604899,59397611813456662118652089762988450976,116629694850561898033832724662068213290,289525436149655293789085054091496891841,237802468789798385921034470619506275332,301743159691929637893055581677864575060
79,224356468921341218902108037144801683968,31577962138425645815040234303970671585,309740162228514904420532417715032379588,37995968428793604328460765082682174086,237192481502077135928949098702224688970,226764967606488572295248203710123501646,6713426742027913427358080106378612114
80,236484790080264779944770482774482672151,78935150410678523188575023502311695550,296609836714759917018026167449904970912,208944115150632034506374699753726075643,156220352639233339116995227845543221040,138438549180563830849887751725356407103,155598704774623509705052271393165633832
81,26458561485946945132341422504352509288,338709896545129666982118813620831784651,253946619492085222367301465482959742198,112451097247752074751263985522504593226,254505696733068687597380981171234549032,339828051027096597442277844997381398319,28135793208897340822579969569176929790
82,310390608597645428363068630689963949973,59374571520438673436485607050245685847,16837312679778689956227308194103629781,182778832075665477922293734121537781775,216916762787160573871310277400779930532,119251104814263977803276938031830076052,230064225077914153181568323446456429632
83,248504883948000721890345756492841690910,299473840939137139681692222748437978338,220620652423523199525568321052820222223,11945318401158901421974051405988422565,13730205792982708834284021239710790661,225975314598994621762498230553987326511,308398277898256176743242071917049818818
84,104360533435298140413255636680021988319,25824052497250076906581765425962379171,320692257389828178724804328456251854746,308400414271155518941174110907353992450,329230890062170561019065720211037003580,42901317841934841495104548935532676839,129976431452325287296039811944377434821
85,130711072640644799567556158332119593562,329619866091377626224226945947225740229,250798446730242196294569160937024924218,234529181478176973241957410733285356826,280812070335181957066391695336007038053,49364746380318684304497407313421756602,220751943455464081883023761529065935067
86,190256696293476016988312417253190158405,48019992017954111014796380811190375088,145409955467838781231064162316071264778,142144219722191564173741154336064616178,38222784781012459842827356871170429288,173928017565239931701697377353156915405,208977551153935516286976608350255863232
87,199291238356557812781787260955005236711,160411273535046799845082122630328120980,207569407452355253099648275430250438623,483273187544709082111111923003978343,219717604582492094719219846972125162734,184707667795320483084225265714077569202,235735829746968337640501975580629409044
88,325016295954203481252895636234882296396,190854073529885174666304828944635207967,38495368988730779335467493288729232021,208222549251678758723758236698932579855,19470880476852185904427844311708828875,152805096506127987804225530990594401675,267942830418567700959776689303821086958
89,287368476638608396214743530157629744689,120847135150985686858803988800415405403,281815305033618362404668237383234834630,89708252444629495925587061042551609776,225090711225896014348309674641902153435,7397947535540990746086863317750043013,117194695215441352045667841933631701104
90,75539951833424351399819039392382567705,257746604917821774893180770907341040798,46473328688065098796245603290655953621,122284856986031250035762751405863728768,144898822890781765148357607821196154942,114315226402316644134030172536653232143,30534067520635886992780445552234960371
91,100462649736366257061101474814805982768,187652179467055527511629406980167422623,265982949699187927430121347069508516580,335454960432763456816577295082829264639,55785844746843652207622643588361455503,107540336483305440530006607449641511766,150436068721210358320354579234901222131
92,227688075092743497274185625067604236755,22305069191337514627918929376202774389,43425714481310456151461767534859855947,291050010962662321844814139543575481429,84613224793516184781226830538813228241,104680089815748971887449055384109518977,10968239108422219700106206647696142340
93,181776688429426768242338612548847557277,151082537259603332730655047068692048573,275313919880881938720540859405041305006,214188469372324122748621442126127115279,307988552654868348278271402663717690689,216431802807576151846116133586044819939,279800586751385996915530242324876714326
94,298242291097486498418498938290497740886,96058608873832603584181474073601390975,226341042825807578995432265647715362640,8524859111534497725502098149303233287,123174791572890286701140186441901425510,230008473288936482458971923093741728012,329025904259673084998997308104824140793
95,68194760125645778657272975117373510140,27413348071723667689501799310446862823,224335274267637102790372137698049514786,318678171792447620496509382848413254732,310442040646155220807913534761538082661,199626880828759903724584593437423998573,326515059261200132709897166307839213765
96,85906372388508956203734261457809633210,279036085806109811376789733006795847304,25144024209347543323490206866341589206,4794921440099078970584897899983281510,217988777498364418318073806107720924216,324443225463205097902582324057786306027,324158265334621117724110451750179426943
97,132704921423595179520985835481871743135,126634102699486404181531655057361714778,267460734294459814897084283090425830954,214902449287576948204269112149295880366,309241614599776267566460749665740074311,210195863310119309520284588207990201492,258047562339544537529115235207814473206
98,334414514339653319562438890158824892370,183218184741831479368605177699581514447,316467633713413593309039435291740146519,53598127412522734456992448071764365992,75174399681035829739213430903190595460,40914083598014415692327776354250623626,291099546084396955779710091856712661787
99,313051351693115362260484971432991221753,282139112471888582843294811967786631741,43800577783296040976347552632173195762,278600481469214663586392408289687336410,305974089687767523746680164076792631091,125921402438954621457210819993489079805,78724786643714420181358983471544893849
100,73731172395316164288532385230540577251,40492952607717788079973707201879396562,317081338541468653197336886028167929229,222931596354691832713872706845869752658,98326092968325790092955777086753078146,283547195303308988797960704182586116990,98030169517764501902138273269832446596
101,45663036724101202526723175089518102725,204200078530845795318994064141055708917,303309603754192195345276477145552172917,2709245473201939142195806671239283428,323246104450690417099875875013421674341,244073079923842238828192859876794711765,105472538813595867790521368693126606997
102,258468818712227465104385824184211046567,11891500591461979836492070295624473445,239867471530250881898072934374109356657,261831997686717244362379201556129273609,77785079060861067229410871841684224301,28009082573620813962542552662542420030,112504008224996484561774244018703860796
103,61844076459201876891231132952549838242,153096951803075002975077937553425803740,57410134644709415605862553977686452293,115065991905043578246959589657099995198,326064523584077490898369044591666432455,9840995839934226633341703917849341470,187242509435429175842001389930953356134
104,271353245413285124938594187077633413604,88082397012963179344456852613708773655,5847104889911061753928174344341913439,24647369044128772167008152269532832956,144483189475616310583696786389281532206,25072199263435213540619469271819799892,6696765328523944501150808348915847311
105,329493428722776564497923415561596525768,134750499453494598819132431728757334717,52975186998469520837139756687879323446,84167491357701330551945390438962491955,228327412531190027963549332982006840244,145172583597997149608576976885244157016,174985371479061158950402929580442653568
106,243024274609952885017479838901396082970,181069854727981457104397262732011258963,98463493802169661042287529521955813406,335487558753455960294525246702997957596,211577315739963427934361199411601268939,67015131682630527425169995079533958732,242083373502395722230326241138564238272
107,90320253656355545621551663772719008940,271317369509751045661664345923151498067,254982568282030571623714105494522621188,41315849973194123507700942486832378303,310881948425118628240374071763617192006,42833762874988695431609671029572428406,258018394085619715471531562580002721394
108,310549075181114645340899750446695940987,91318252937631094054905910483748248981,57201739584021128120238967130226628252,208199535120284747536898920386131078800,204029272625483488841511162819693389328,44690952099617352034075694430913559836,70466940463624800577967122651559801621
109,154854541913735199922239078664319811237,112891033628371339656512914353915444933,217544726363884432100511013592297082051,128533253199336013790858768947696511294,186138981055664548190930787851881943959,50079543011931571837352462873085168749,60637305989075548193498401443074396961
110,14600683690972470621683644633492178638,226156805580579949655808189958023962987,61090537649424441651445104487942295570,199966613739382873535343603086783598981,302502666929516781844129078322779661923,28416330298887703114426922764162273099,58272337689372564272986351274467855103
111,291661991790535493083136905061049675278,36070412187747790158081068036088885831,277657089892349564349857331926057106753,335857291062463888731716481867417915450,210671015698090763303658517860171311922,242380630720168651529058047336085507466,90703769207759089944540462863392290785
112,244504189912555122674396583892114719481,80877340808788750522664199331241099131,152456827791850134691495915772845355774,118960283940800811717517125785159278113,320670076176579245064102436799951077445,77021470657308507804502633953684331176,68579201224865526865466932109895461900
113,41586389549590513899111934992731054757,311069296104682735575854079447711019102,190073861028445275477817684518744053034,18882451241816597068377357637598367850,137777433665735163810907706236042174847,206476441379262512242034122882307262728,224979474382398642361756607576393631493
114,57934012788454998848279164089972083169,207530158155909883236200004320002202710,164624743700301055813894256432963014661,269500136342566980044736527860622730319,181873969161769192465352211171213138387,242028609078846156539115913796502450162,109681689172859408802653028304722454347
115,192353911830997105457841916809321488007,91737097720349201913063172076343431350,313605096758300716057314489493760203262,177393175102974720963846654198035381149,23383699675309680096034273620937176308,191859037396244056917251955194233800036,2254454423900924500750484054388829739
116,112761841708622593142391170363535705667,36525724448735822563795191275660278984,213857502452273701728664696995658732032,304474808798297767173625080091762853514,308377643486808018898676340563972643430,225566006517804456903818478412288101780,56039897891287081189051493636709228564
117,116163819204351129967722498237221989877,259475097146481538485833619684307082142,90360238184319539456386400296930108401,289383976159742059806130054938627491248,175981577230872172608315368745862808089,90435408318648341326316949150404270221,32745469423070565960134796152251877644
118,52498124509102980409365225737165172225,201686852161951757648513738494419543256,166764274486306858274538328294447920631,288012758403106745750813602569018515647,225149936991412956613964953886363117007,318458177172163954327366989678249936008,227655112024421275427645102512910761353
119,311521640076341621515967811957623042046,289598772113930707836189879548324529671,282415923103663786419326418058754086060,289973093045540857265377427488911711213,312270281939561920374342907838797405130,9025122864788512282848251676642956514,60802349663097559917642673865984787959
120,175671143670836838601383971933624285508,148238547336009454978858314953155804802,267791938977355114786664536399551500530,194048951673935354561428028841043161395,267291952346688637766523399709398998694,147238574074676500938576041572850801130,174171183778837407540960561863166780000
121,314798884467037525790848716774863033194,277424961029035017610453018296777656423,53976039226515056412652587716552055136,325016852901354569124196639897722651927,69700301290738165354961352544984812905,308873485157481235495070547953643171961,21689303738768389154400403828393095204
122,135683187035219849575312517275725005968,164991160108673648863101751068584137438,5022166203361426901457321186403360617,336340939161160110617128442492719098099,138100378219254309619991292692226715993,90865217219520950836795086648462636893,194635456161960034267539824361426860799
123,157724280931926313712301241286363672162,312079193621311484206287248645048856430,1297657488050262601132957358599616206,246226773294958039286962189722320585381,26019440279219423873651123440907130064,21240392282711343287948973377895672849,231889629305433797529855739533286213736
124,301133124401224340757386074924491886529,317175374760615718216534995918462572346,215973686567054962566103826634103938140,337810426741480537269467174503184195208,2120861442015515399875824662166920956,229752091431475287347453599406356749275,340139382867982926185451283872217257571
125,49979406871457859008852893507160589459,284426305128486170831168382528992649004,157526701159770495437757176940137913048,9562961886249296291993884172364592888,180817454228861036857253111657440899821,331007811266667253670160251963598622550,119851666078729483267340697659069549778
126,12863822301742317991144534371767649795,128148723507519089164182363497597075514,136821302677886757345946567300483422633,38881559812845322536437145780426691152,174611861833333248199028706369195092368,203729841818412070870346641635020414984,126235499768081790550390951577902659000
127,223872125427159957391616522295725473928,259963659000277186736558764262689221048,42062923595120050914410494346226226134,250734653053565476851920927409872911780,205414113533736537622340848590092855392,246383671956571696689044865318654268267,33360961401132490588658370163788939108
128,13648543882379277419123430852897536266,25638898244850900997604356492283763025,207846586392792573466623042274717960781,219989241405265831362804880768431918237,62066863282270674686149871973425635393,74361818944745566900032623321467323546,256874108392690508004453134812556982696
129,105801876796601224924266029367552805818,294432573575391979909531471326673357974,218411616292929886325945543897249827643,218021371870153407636882854511050426122,293261840307062543842343403168075153411,103850654682718831478952582436555798213,330352548838999197473459607180028783122
130,36682142703584213655857824540672298835,114778284930936022278343209146325315564,318245522153437179000924172943209291150,306801487450149220360226108499556014296,80446180821072146356249015815365485002,319744336108082883915742109754174125862,3848852548366042648581568020677302985
131,94878958556375438737208089992462493235,107670668707366131382090353203495952718,208342042741631428089941565992077518592,56610713738232865397387120926438979560,333041415539047370231176232870116758216,16787047381259552201185079527806220669,128694710027684801697537483194812000810
132,130956481788822911665071216294832803535,116614052478744574865119047404601436592,259980000358172320081228073468377670909,220771958506167683850023687054393295189,339272293843669129634880495594416520729,275198639449738193972423891656679136232,28550995324374876862653875241181141698
133,252462091881658324067649820321581647310,136107518129946165325800124285099941026,273066667674282382874785778327288286133,323057173593728513251232175016378471334,286079035888284556455139314352370496629,162132254557950512486507196335264362018,291499196523664844808710428396828278798
134,325727029796044633904779204323847344058,173618716451245874896312121341410024304,196521496913448431367201862332155177849,54153004261713839854073819864314593396,86795605416980563820302601369656482242,294449300379248603265888206848180844387,336831722227579494727456028868119468534
135,107051468936475047108192505209369245758,142521862384192913350137672663780306705,175643887914142664021689331709808038078,206417545526324299122847482347452439877,234842835220737818653612124576713512102,260919756997383222613983258397591254753,284648310856260511003960883810085667830
136,314902655169632454077325143078416337282,147092202306855950555745342573108732964,337996813569068553679444024647285891798,207051755114393336521671974437411391190,94539393863768762545803799375253442437,459729817194831751839499460812045539,265095129895610007603153682125855411793
137,321560759496602705507968864873235489115,117473419827417338444291162808757942049,28977156213555083644003039116041609884,56071968655015941107104493795086492620,198757857151799910833595526845892590257,116752454782968529360101530836691691498,150338128469460260149997113199252007640
138,54757774140353601369877052903654929679,253393631163464393307642284801713924274,301037372720072194882033024150030372115,197688998810177006093049270948604273202,283630876354717290404065632629203838832,218580638432754584351707501760060857708,2538285044288887935974878341175329830
139,297229252414630458154995666962045497497,87792516705573370957039870552862432917,275435487676929545605675017669802114992,179593431486822055174151893449328121128,140548715056189363125845105323208662622,158301338385031469460754653291443739474,232851301473348374178880537354033351684
